src_id	src_name	src_mfn	src_file	src_line	dst_id	dst_name	dst_mfn	dst_file	dst_line
30064771074	<operator>.formatString	<operator>.formatString	install.js	67	30064771073	<operator>.assignment	<operator>.assignment	install.js	67
30064771082	<operator>.indexAccess	<operator>.indexAccess	install.js	69	30064771081	<operator>.assignment	<operator>.assignment	install.js	69
30064771086	<operator>.indexAccess	<operator>.indexAccess	install.js	72	30064771085	<operator>.assignment	<operator>.assignment	install.js	72
30064771090	<operator>.indexAccess	<operator>.indexAccess	install.js	75	30064771089	<operator>.assignment	<operator>.assignment	install.js	75
30064771095	<operator>.alloc	<operator>.alloc	install.js	79	30064771094	<operator>.assignment	<operator>.assignment	install.js	79
30064771097	<operator>.formatString	<operator>.formatString	install.js	79	30064771096	<operator>.new	<unknownFullName>	install.js	79
30064771105	dirname	path:dirname	install.js	84	30064771104	<operator>.assignment	<operator>.assignment	install.js	84
30064771107	resolve	(path2.join(__dirname, "package.json")):<member>(version):resolve	install.js	84	30064771105	dirname	path:dirname	install.js	84
30064771111	<operator>.formatString	<operator>.formatString	install.js	85	30064771109	join	path:join	install.js	85
30064771119	trim	child_process:execFileSync:<returnValue>:toString:<returnValue>:trim	install.js	102	30064771118	<operator>.assignment	<operator>.assignment	install.js	102
30064771122	toString	child_process:execFileSync:<returnValue>:toString	install.js	102	30064771121	<operator>.assignment	<operator>.assignment	install.js	102
30064771125	execFileSync	child_process:execFileSync	install.js	102	30064771124	<operator>.assignment	<operator>.assignment	install.js	102
30064771132	<operator>.equals	<operator>.equals	install.js	117	30064771131	<operator>.logicalAnd	<operator>.logicalAnd	install.js	117
30064771135	test	__ecma.String:test	install.js	117	30064771131	<operator>.logicalAnd	<operator>.logicalAnd	install.js	117
30064771138	<operator>.addition	<operator>.addition	install.js	117	30064771135	test	__ecma.String:test	install.js	117
30064771141	<operator>.addition	<operator>.addition	install.js	120	30064771140	<operator>.assignment	<operator>.assignment	install.js	120
