src	dst	type	file	reason_vars
n1	n3	DD_APPROX	install.js	error,https,on,with
n1	n8	DD_APPROX	install.js	error
n3	n4	DD_APPROX	install.js	fetch,headers,location,reject,res,resolve,then
n3	n8	DD_APPROX	install.js	error
n3	n20	DD_APPROX	install.js	fetch,url
n3	n21	DD_APPROX	install.js	fetch,url
n4	n20	DD_APPROX	install.js	fetch
n4	n21	DD_APPROX	install.js	fetch
n6	n7	DD_APPROX	install.js	fs2,installDir
n6	n8	DD_APPROX	install.js	installDir
n6	n9	DD_APPROX	install.js	fs2
n6	n10	DD_APPROX	install.js	fs2
n6	n11	DD_APPROX	install.js	fs2
n6	n12	DD_APPROX	install.js	fs2
n6	n13	DD_APPROX	install.js	fs2
n6	n14	DD_APPROX	install.js	fs2
n6	n15	DD_APPROX	install.js	fs2
n6	n16	DD_APPROX	install.js	fs2
n6	n17	DD_APPROX	install.js	fs2
n6	n18	DD_APPROX	install.js	fs2
n6	n19	DD_APPROX	install.js	fs2
n6	n20	DD_APPROX	install.js	fs2
n6	n21	DD_APPROX	install.js	fs2
n6	n22	DD_APPROX	install.js	fs2
n6	n23	DD_APPROX	install.js	fs2
n7	n8	DD_APPROX	install.js	installDir
n7	n9	DD_APPROX	install.js	fs2
n7	n10	DD_APPROX	install.js	fs2
n7	n11	DD_APPROX	install.js	fs2
n7	n12	DD_APPROX	install.js	fs2
n7	n13	DD_APPROX	install.js	fs2
n7	n14	DD_APPROX	install.js	fs2,writeFileSync
n7	n15	DD_APPROX	install.js	fs2
n7	n16	DD_APPROX	install.js	fs2,writeFileSync
n7	n17	DD_APPROX	install.js	fs2
n7	n18	DD_APPROX	install.js	fs2
n7	n19	DD_APPROX	install.js	fs2
n7	n20	DD_APPROX	install.js	fs2,writeFileSync
n7	n21	DD_APPROX	install.js	fs2,writeFileSync
n7	n22	DD_APPROX	install.js	fs2
n7	n23	DD_APPROX	install.js	fs2
n9	n10	DD_APPROX	install.js	fs2
n9	n11	DD_APPROX	install.js	fs2
n9	n12	DD_APPROX	install.js	fs2
n9	n13	DD_APPROX	install.js	fs2
n9	n14	DD_APPROX	install.js	fs2
n9	n15	DD_APPROX	install.js	fs2
n9	n16	DD_APPROX	install.js	fs2
n9	n17	DD_APPROX	install.js	binPath,fs2
n9	n18	DD_APPROX	install.js	fs2
n9	n19	DD_APPROX	install.js	fs2
n9	n20	DD_APPROX	install.js	binPath,fs2
n9	n21	DD_APPROX	install.js	binPath,fs2
n9	n22	DD_APPROX	install.js	binPath,fs2
